date,warehouse,sku_id,category,system_forecast,override_flag,final_forecast,actual_demand,unit_cost,lead_time_days,safety_stock_units
2023-01-01,North-DC,APP-101,Apparel,808,True,940,694,917.81,21,115
2023-02-01,North-DC,APP-101,Apparel,922,True,1069,754,917.81,21,108
2023-03-01,North-DC,APP-101,Apparel,684,False,684,828,917.81,21,124
2023-04-01,North-DC,APP-101,Apparel,742,True,808,879,917.81,21,108
2023-05-01,North-DC,APP-101,Apparel,722,False,722,724,917.81,21,120
2023-06-01,North-DC,APP-101,Apparel,812,True,992,722,917.81,21,125
2023-07-01,North-DC,APP-101,Apparel,736,False,736,692,917.81,21,98
2023-08-01,North-DC,APP-101,Apparel,731,True,832,823,917.81,21,120
2023-09-01,North-DC,APP-101,Apparel,677,False,677,760,917.81,21,110
2023-10-01,North-DC,APP-101,Apparel,838,False,838,773,917.81,21,146
2023-11-01,North-DC,APP-101,Apparel,740,True,778,694,917.81,21,100
2023-12-01,North-DC,APP-101,Apparel,845,True,941,871,917.81,21,110
2024-01-01,North-DC,APP-101,Apparel,799,True,933,873,917.81,21,127
2024-02-01,North-DC,APP-101,Apparel,848,True,1017,927,917.81,21,138
2024-03-01,North-DC,APP-101,Apparel,818,True,915,854,917.81,21,139
2024-04-01,North-DC,APP-101,Apparel,658,True,717,811,917.81,21,130
2024-05-01,North-DC,APP-101,Apparel,836,False,836,808,917.81,21,103
2024-06-01,North-DC,APP-101,Apparel,798,False,798,823,917.81,21,120
2024-07-01,North-DC,APP-101,Apparel,716,True,778,652,917.81,21,111
2024-08-01,North-DC,APP-101,Apparel,799,True,846,770,917.81,21,119
2024-09-01,North-DC,APP-101,Apparel,813,False,813,765,917.81,21,103
2024-10-01,North-DC,APP-101,Apparel,718,False,718,835,917.81,21,130
2024-11-01,North-DC,APP-101,Apparel,737,False,737,903,917.81,21,120
2024-12-01,North-DC,APP-101,Apparel,779,True,824,736,917.81,21,123
2023-01-01,North-DC,APP-102,Apparel,936,True,1014,1007,2098.96,7,148
2023-02-01,North-DC,APP-102,Apparel,1038,False,1038,1100,2098.96,7,133
2023-03-01,North-DC,APP-102,Apparel,1034,True,1180,1032,2098.96,7,157
2023-04-01,North-DC,APP-102,Apparel,1013,False,1013,1023,2098.96,7,152
2023-05-01,North-DC,APP-102,Apparel,1006,True,1080,964,2098.96,7,129
2023-06-01,North-DC,APP-102,Apparel,966,True,1085,965,2098.96,7,120
2023-07-01,North-DC,APP-102,Apparel,886,False,886,866,2098.96,7,129
2023-08-01,North-DC,APP-102,Apparel,739,True,774,896,2098.96,7,112
2023-09-01,North-DC,APP-102,Apparel,750,False,750,759,2098.96,7,118
2023-10-01,North-DC,APP-102,Apparel,756,False,756,956,2098.96,7,119
2023-11-01,North-DC,APP-102,Apparel,730,False,730,730,2098.96,7,125
2023-12-01,North-DC,APP-102,Apparel,916,False,916,854,2098.96,7,121
2024-01-01,North-DC,APP-102,Apparel,898,True,1058,790,2098.96,7,141
2024-02-01,North-DC,APP-102,Apparel,910,False,910,1017,2098.96,7,148
2024-03-01,North-DC,APP-102,Apparel,1000,False,1000,1101,2098.96,7,160
2024-04-01,North-DC,APP-102,Apparel,869,False,869,1079,2098.96,7,137
2024-05-01,North-DC,APP-102,Apparel,944,False,944,954,2098.96,7,144
2024-06-01,North-DC,APP-102,Apparel,895,False,895,1186,2098.96,7,140
2024-07-01,North-DC,APP-102,Apparel,798,True,890,806,2098.96,7,110
2024-08-01,North-DC,APP-102,Apparel,705,False,705,733,2098.96,7,117
2024-09-01,North-DC,APP-102,Apparel,690,True,817,601,2098.96,7,100
2024-10-01,North-DC,APP-102,Apparel,691,True,788,783,2098.96,7,131
2024-11-01,North-DC,APP-102,Apparel,655,False,655,831,2098.96,7,119
2024-12-01,North-DC,APP-102,Apparel,735,True,741,810,2098.96,7,144
2023-01-01,North-DC,APP-103,Apparel,491,False,491,560,1650.59,7,75
2023-02-01,North-DC,APP-103,Apparel,437,True,527,570,1650.59,7,71
2023-03-01,North-DC,APP-103,Apparel,492,False,492,585,1650.59,7,65
2023-04-01,North-DC,APP-103,Apparel,437,False,437,473,1650.59,7,88
2023-05-01,North-DC,APP-103,Apparel,465,False,465,532,1650.59,7,66
2023-06-01,North-DC,APP-103,Apparel,448,False,448,500,1650.59,7,65
2023-07-01,North-DC,APP-103,Apparel,449,False,449,429,1650.59,7,65
2023-08-01,North-DC,APP-103,Apparel,370,False,370,475,1650.59,7,68
2023-09-01,North-DC,APP-103,Apparel,417,False,417,406,1650.59,7,59
2023-10-01,North-DC,APP-103,Apparel,387,True,413,419,1650.59,7,70
2023-11-01,North-DC,APP-103,Apparel,397,False,397,435,1650.59,7,67
2023-12-01,North-DC,APP-103,Apparel,416,True,503,464,1650.59,7,48
