"sku_id","warehouse","override_rate_pct","final_mape_pct"
APP-101,North-DC,58.3,12.87
APP-106,North-DC,58.3,17.72
ELC-204,South-DC,58.3,6.8
ELC-206,West-DC,54.2,9.38
APP-105,South-DC,50.0,15.82
ELC-203,South-DC,50.0,7.99
PER-304,South-DC,50.0,10.67
ELC-201,West-DC,45.8,10.29
ELC-203,North-DC,45.8,7.64
PER-301,West-DC,45.8,13.09
PER-303,North-DC,45.8,13.59
PER-306,West-DC,45.8,10.23
APP-101,West-DC,41.7,17.19
APP-102,North-DC,41.7,11.27
APP-103,West-DC,41.7,14.54
APP-105,West-DC,41.7,19.95
ELC-201,South-DC,41.7,8.25
PER-302,North-DC,41.7,10.37
PER-306,North-DC,41.7,11.98
APP-101,South-DC,37.5,12.23
APP-102,West-DC,37.5,13.06
APP-103,South-DC,37.5,13.88
APP-104,North-DC,37.5,9.15
APP-104,West-DC,37.5,14.0
APP-105,North-DC,37.5,11.72
ELC-204,North-DC,37.5,10.83
ELC-204,West-DC,37.5,7.65
ELC-205,South-DC,37.5,9.89
ELC-206,North-DC,37.5,8.39
PER-303,South-DC,37.5,10.06
PER-303,West-DC,37.5,9.13
PER-304,West-DC,37.5,14.27
PER-305,North-DC,37.5,12.8
PER-301,South-DC,33.3,9.47
PER-306,South-DC,33.3,11.01
APP-102,South-DC,29.2,12.66
APP-104,South-DC,29.2,10.63
APP-106,South-DC,29.2,9.92
ELC-203,West-DC,29.2,9.86
ELC-205,West-DC,29.2,7.67
ELC-206,South-DC,29.2,13.93
PER-302,West-DC,29.2,15.68
PER-304,North-DC,29.2,8.99
PER-305,West-DC,29.2,11.61
APP-106,West-DC,25.0,12.39
ELC-202,South-DC,20.8,10.24
PER-302,South-DC,20.8,8.84
PER-305,South-DC,20.8,10.34
APP-103,North-DC,16.7,10.22
ELC-201,North-DC,16.7,10.92
ELC-202,West-DC,16.7,10.28
ELC-205,North-DC,16.7,14.92
PER-301,North-DC,16.7,10.53
ELC-202,North-DC,12.5,6.52
